Time (s);FP1;FP2;Sampling Rate
0.000000;2492.502686;23291.605469;512
0.001953;2494.517822;23310.650391;
0.003906;2472.109619;23298.955078;
0.005859;2483.237305;23304.931641;
0.007813;2483.111084;23307.628906;
0.009766;2516.044189;23334.150391;
0.011719;2516.081055;23317.210938;
0.013672;2483.892578;23272.550781;
0.015625;2503.879883;23295.181641;
0.017578;2518.564209;23327.843750;
0.019531;2498.186768;23313.259766;
0.021484;2500.604004;23313.101563;
0.023438;2446.382568;23281.369141;
0.025391;2498.193115;23315.544922;
0.027344;2480.750977;23273.427734;
0.029297;2510.333984;23284.703125;
0.031250;2503.928467;23280.074219;
0.033203;2478.459717;23268.363281;
0.035156;2477.787109;23288.117188;
0.037109;2480.047607;23281.333984;
0.039063;2503.726807;23313.134766;
0.041016;2546.167480;23328.294922;
0.042969;2548.123779;23322.464844;
0.044922;2501.594971;23300.732422;
0.046875;2501.611572;23291.548828;
0.048828;2504.141602;23297.958984;
0.050781;2478.166992;23252.755859;
0.052734;2501.736084;23288.917969;
0.054688;2517.818115;23351.019531;
0.056641;2508.827393;23344.580078;
0.058594;2516.066895;23328.675781;
0.060547;2530.595947;23336.027344;
0.062500;2531.636963;23315.902344;
0.064453;2538.531738;23314.142578;
0.066406;2527.046631;23309.496094;
0.068359;2516.761230;23319.761719;
0.070313;2517.020752;23328.630859;
0.072266;2519.201904;23319.533203;
0.074219;2517.798340;23323.882813;
0.076172;2517.951172;23321.947266;
0.078125;2513.028320;23291.390625;
0.080078;2505.900146;23264.201172;
0.082031;2515.854004;23289.726563;
0.083984;2505.064697;23290.482422;
0.085938;2503.825928;23297.240234;
0.087891;2502.304199;23324.250000;
0.089844;2495.680176;23340.953125;
0.091797;2520.121338;23322.630859;
0.093750;2527.854980;23282.119141;
0.095703;2523.568359;23297.849609;
0.097656;2512.154785;23304.294922;
0.099609;2517.187256;23300.589844;
0.101563;2518.603760;23305.074219;
0.103516;2514.286133;23317.117188;
0.105469;2510.345703;23340.289063;
0.107422;2510.318359;23340.443359;
0.109375;2515.446533;23328.796875;
0.111328;2493.359131;23274.916016;
0.113281;2522.976807;23285.820313;
0.115234;2518.122070;23298.552734;
0.117188;2512.991943;23300.058594;
0.119141;2514.108887;23320.476563;
0.121094;2500.248291;23297.433594;
0.123047;2488.063477;23280.515625;
0.125000;2522.632324;23307.285156;
0.126953;2517.711426;23312.849609;
0.128906;2489.314941;23277.033203;
0.130859;2524.391357;23302.064453;
0.132813;2517.942871;23297.234375;
0.134766;2501.029785;23296.371094;
0.136719;2499.566162;23315.296875;
0.138672;2506.399902;23334.421875;
0.140625;2525.871094;23342.869141;
0.142578;2531.767334;23327.021484;
0.144531;2520.698486;23310.591797;
0.146484;2500.970703;23290.455078;
0.148438;2529.396729;23302.416016;
0.150391;2508.110352;23264.187500;
0.152344;2505.105713;23291.539063;
0.154297;2512.279053;23322.882813;
0.156250;2535.768799;23328.720703;
0.158203;2535.872314;23328.849609;
0.160156;2519.487305;23306.224609;
0.162109;2505.626465;23269.886719;
0.164063;2522.126709;23276.281250;
0.166016;2519.198730;23310.259766;
0.167969;2511.129150;23299.029297;
0.169922;2508.666260;23307.820313;
0.171875;2512.101807;23324.103516;
0.173828;2511.846436;23333.037109;
0.175781;2522.559326;23321.734375;
0.177734;2526.025391;23313.656250;
0.179688;2508.116211;23295.066406;
0.181641;2515.707520;23303.841797;
0.183594;2509.848877;23310.175781;
0.185547;2507.451172;23325.099609;
0.187500;2517.650146;23344.304688;
0.189453;2493.680420;23306.343750;
0.191406;2503.991943;23304.523438;
0.193359;2509.250244;23302.498047;
0.195313;2512.128174;23293.656250;
0.197266;2518.575684;23294.914063;
0.199219;2517.952881;23291.503906;
0.201172;2505.397461;23276.083984;
0.203125;2502.584717;23278.197266;
0.205078;2502.464600;23292.660156;
0.207031;2488.213867;23299.562500;
0.208984;2509.333740;23306.505859;
0.210938;2493.996826;23292.816406;
0.212891;2486.012939;23280.671875;
0.214844;2496.754883;23274.054688;
0.216797;2510.871582;23296.013672;
0.218750;2496.562500;23308.660156;
0.220703;2495.127930;23323.281250;
0.222656;2503.741211;23326.582031;
0.224609;2507.910645;23310.546875;
0.226563;2500.922852;23293.652344;
0.228516;2509.402100;23303.417969;
0.230469;2518.683105;23302.312500;
0.232422;2516.564453;23296.134766;
0.234375;2516.963379;23319.369141;
0.236328;2519.186279;23339.062500;
0.238281;2512.692871;23343.523438;
0.240234;2507.146729;23322.349609;
0.242188;2507.216309;23298.246094;
0.244141;2520.413574;23305.101563;
0.246094;2515.558105;23281.666016;
0.248047;2511.867676;23275.376953;
0.250000;2503.808838;23286.974609;
0.251953;2501.197754;23302.160156;
0.253906;2499.314453;23318.105469;
0.255859;2530.790283;23341.857422;
0.257813;2522.133789;23315.687500;
0.259766;2506.291260;23311.806641;
0.261719;2501.129883;23304.189453;
0.263672;2495.842529;23289.902344;
0.265625;2512.798340;23310.105469;
0.267578;2534.085205;23339.410156;
0.269531;2533.415771;23338.310547;
0.271484;2522.615479;23334.765625;
0.273438;2500.831055;23316.062500;
0.275391;2462.219482;23293.498047;
0.277344;2514.492188;23293.388672;
0.279297;2555.525146;23311.769531;
0.281250;2535.003418;23296.908203;
0.283203;2509.568359;23278.289063;
0.285156;2497.364990;23287.349609;
0.287109;2493.252930;23291.742188;
0.289063;2504.562012;23299.226563;
0.291016;2531.178711;23335.214844;
0.292969;2491.145020;23277.859375;
0.294922;2497.214355;23264.478516;
0.296875;2524.987793;23282.818359;
0.298828;2540.004639;23328.179688;
0.300781;2519.350342;23333.654297;
0.302734;2510.631104;23330.003906;
0.304688;2508.491211;23323.039063;
0.306641;2515.503662;23324.554688;
0.308594;2509.071289;23308.703125;
0.310547;2510.044922;23309.849609;
0.312500;2521.868408;23313.906250;
0.314453;2492.422119;23260.611328;
0.316406;2481.743896;23269.888672;
0.318359;2509.736328;23319.917969;
0.320313;2500.649902;23316.349609;
0.322266;2485.902100;23274.851563;
0.324219;2491.183594;23288.966797;
0.326172;2507.350098;23303.804688;
0.328125;2509.587891;23289.361328;
0.330078;2508.367676;23286.779297;
0.332031;2501.187012;23295.404297;
0.333984;2488.859619;23308.621094;
0.335938;2491.507813;23322.394531;
0.337891;2490.675049;23334.412109;
0.339844;2488.095947;23320.083984;
0.341797;2475.948242;23292.238281;
0.343750;2477.253906;23271.748047;
0.345703;2500.218750;23262.105469;
0.347656;2481.607178;23235.500000;
0.349609;2496.531006;23290.250000;
0.351563;2482.680420;23317.531250;
0.353516;2501.194092;23333.740234;
0.355469;2457.969727;23290.953125;
