Time (s);FP1;FP2;Sampling Rate
0.000000;2756.253418;23560.523438;512
0.001953;2745.575928;23554.226563;
0.003906;2716.072266;23533.152344;
0.005859;2728.560303;23526.351563;
0.007813;2741.802979;23496.257813;
0.009766;2725.560303;23485.978516;
0.011719;2737.947754;23486.220703;
0.013672;2740.926270;23510.291016;
0.015625;2729.547607;23528.710938;
0.017578;2733.473633;23525.550781;
0.019531;2731.580566;23523.908203;
0.021484;2728.745361;23502.878906;
0.023438;2729.069336;23482.992188;
0.025391;2733.836426;23481.083984;
0.027344;2729.884277;23489.402344;
0.029297;2727.319580;23506.710938;
0.031250;2724.809570;23512.052734;
0.033203;2699.718506;23490.962891;
0.035156;2723.053467;23507.447266;
0.037109;2722.068359;23490.662109;
0.039063;2733.494873;23502.914063;
0.041016;2722.961426;23492.859375;
0.042969;2722.661621;23466.818359;
0.044922;2719.927979;23475.750000;
0.046875;2733.615234;23506.056641;
0.048828;2741.271484;23544.037109;
0.050781;2720.859131;23526.390625;
0.052734;2740.980469;23547.115234;
0.054688;2728.007568;23526.175781;
0.056641;2714.976563;23494.634766;
0.058594;2696.535400;23467.998047;
0.060547;2700.839111;23464.171875;
0.062500;2766.486084;23523.937500;
0.064453;2741.067871;23505.060547;
0.066406;2727.592773;23498.337891;
0.068359;2725.735840;23506.154297;
0.070313;2709.081787;23508.763672;
0.072266;2736.615967;23526.128906;
0.074219;2739.723389;23512.523438;
0.076172;2728.581055;23496.724609;
0.078125;2708.765381;23472.197266;
0.080078;2710.654541;23459.607422;
0.082031;2722.105225;23476.621094;
0.083984;2727.066650;23535.541016;
0.085938;2704.976318;23526.880859;
0.087891;2707.811523;23530.183594;
0.089844;2716.541260;23492.152344;
0.091797;2715.424316;23474.923828;
0.093750;2721.074707;23503.349609;
0.095703;2725.768555;23528.605469;
0.097656;2738.246338;23552.896484;
0.099609;2741.561768;23552.667969;
0.101563;2727.990967;23538.158203;
0.103516;2728.957520;23492.498047;
0.105469;2719.608887;23438.115234;
0.107422;2716.422852;23447.845703;
0.109375;2738.270752;23508.816406;
0.111328;2728.631592;23525.281250;
0.113281;2713.496826;23516.720703;
0.115234;2724.310791;23531.320313;
0.117188;2725.132813;23501.216797;
0.119141;2709.749268;23499.111328;
0.121094;2700.977295;23489.839844;
0.123047;2705.710693;23508.089844;
0.125000;2708.248047;23481.330078;
0.126953;2697.313721;23480.187500;
0.128906;2707.726563;23492.148438;
0.130859;2719.301025;23523.486328;
0.132813;2727.791748;23533.234375;
0.134766;2705.557617;23509.523438;
0.136719;2693.149658;23510.425781;
0.138672;2681.103027;23486.191406;
0.140625;2720.528564;23477.669922;
0.142578;2716.173584;23477.828125;
0.144531;2718.139648;23486.595703;
0.146484;2709.601074;23489.169922;
0.148438;2702.863281;23486.910156;
0.150391;2700.630371;23496.970703;
0.152344;2703.410645;23504.855469;
0.154297;2688.831299;23490.609375;
0.156250;2688.033203;23478.201172;
0.158203;2720.476807;23461.347656;
0.160156;2716.452148;23466.283203;
0.162109;2709.727295;23473.810547;
0.164063;2712.473389;23493.650391;
0.166016;2721.537354;23519.615234;
0.167969;2716.508057;23513.322266;
0.169922;2703.983887;23497.892578;
0.171875;2712.992432;23494.695313;
0.173828;2733.194824;23496.886719;
0.175781;2727.125732;23490.375000;
0.177734;2716.781494;23492.085938;
0.179688;2716.054199;23506.900391;
0.181641;2709.942383;23512.693359;
0.183594;2708.667480;23516.648438;
0.185547;2727.526123;23526.947266;
0.187500;2712.980225;23490.646484;
0.189453;2700.885254;23471.527344;
0.191406;2724.632080;23491.841797;
0.193359;2705.417480;23476.384766;
0.195313;2701.584229;23489.589844;
0.197266;2693.194580;23504.412109;
0.199219;2689.083984;23501.025391;
0.201172;2702.122314;23495.892578;
0.203125;2727.996338;23487.000000;
0.205078;2728.123779;23489.576172;
0.207031;2723.600342;23493.798828;
0.208984;2700.072754;23475.343750;
0.210938;2717.250000;23497.240234;
0.212891;2721.882324;23505.832031;
0.214844;2725.432129;23518.937500;
0.216797;2703.049805;23517.908203;
0.218750;2683.574463;23519.082031;
0.220703;2725.851807;23512.126953;
0.222656;2724.154053;23480.048828;
0.224609;2718.536865;23470.343750;
0.226563;2720.956543;23480.998047;
0.228516;2711.246338;23490.951172;
0.230469;2718.874512;23506.164063;
0.232422;2733.660889;23518.962891;
0.234375;2718.703369;23499.050781;
0.236328;2711.727539;23499.314453;
0.238281;2720.270020;23501.109375;
0.240234;2709.091553;23486.519531;
0.242188;2716.596680;23473.783203;
0.244141;2706.371094;23487.367188;
0.246094;2704.555420;23489.339844;
0.248047;2711.821777;23511.753906;
0.250000;2712.990723;23531.863281;
0.251953;2707.837891;23507.093750;
0.253906;2702.087402;23489.232422;
0.255859;2702.230469;23498.308594;
0.257813;2706.273193;23479.414063;
0.259766;2720.697998;23456.496094;
0.261719;2715.690430;23462.384766;
0.263672;2702.924316;23499.726563;
0.265625;2708.351563;23525.582031;
0.267578;2714.728027;23533.751953;
0.269531;2694.343994;23527.068359;
0.271484;2693.493164;23516.228516;
0.273438;2726.230957;23494.607422;
0.275391;2709.625000;23458.191406;
0.277344;2706.277588;23463.322266;
0.279297;2710.769287;23494.472656;
0.281250;2705.944580;23504.617188;
0.283203;2693.162109;23506.339844;
0.285156;2684.816650;23488.037109;
0.287109;2711.648438;23501.025391;
0.289063;2705.041748;23476.824219;
0.291016;2709.073730;23465.248047;
0.292969;2694.507568;23465.845703;
0.294922;2693.868896;23484.591797;
0.296875;2696.129150;23507.619141;
0.298828;2718.145264;23528.621094;
0.300781;2704.774414;23518.732422;
0.302734;2690.544189;23507.902344;
0.304688;2683.629150;23501.052734;
0.306641;2706.110352;23485.843750;
0.308594;2707.094971;23476.478516;
0.310547;2700.142334;23481.539063;
0.312500;2702.181641;23499.238281;
0.314453;2696.423584;23476.646484;
0.316406;2694.395508;23484.162109;
0.318359;2702.979736;23509.027344;
0.320313;2699.877441;23511.380859;
0.322266;2698.699951;23495.500000;
0.324219;2682.455566;23467.439453;
0.326172;2693.507324;23481.042969;
0.328125;2732.411377;23506.830078;
0.330078;2702.468750;23496.613281;
0.332031;2702.585449;23503.656250;
0.333984;2704.057129;23526.740234;
0.335938;2680.368164;23521.486328;
0.337891;2716.696777;23510.710938;
0.339844;2731.359375;23511.751953;
0.341797;2717.404785;23494.277344;
0.343750;2722.674316;23504.021484;
0.345703;2722.974121;23484.751953;
0.347656;2715.125000;23509.847656;
0.349609;2717.754883;23527.371094;
0.351563;2714.434814;23525.664063;
0.353516;2720.362793;23520.333984;
0.355469;2713.374023;23501.703125;
0.357422;2722.479736;23489.632813;
0.359375;2711.924316;23464.105469;
0.361328;2711.891357;23478.019531;
0.363281;2708.446045;23493.583984;
0.365234;2733.487793;23518.882813;
0.367188;2734.067871;23528.779297;
0.369141;2724.035400;23521.707031;
0.371094;2706.166260;23504.152344;
0.373047;2711.155029;23508.406250;
0.375000;2725.110840;23505.757813;
0.376953;2720.363281;23496.515625;
0.378906;2727.353760;23505.419922;
0.380859;2720.112793;23507.953125;
0.382813;2716.947021;23515.816406;
0.384766;2708.900391;23512.871094;
0.386719;2717.899658;23501.527344;
0.388672;2712.197266;23491.250000;
0.390625;2669.261963;23444.742188;
0.392578;2683.657715;23477.601563;
0.394531;2756.005127;23506.179688;
0.396484;2737.418701;23536.587891;
0.398438;2719.160645;23550.212891;
0.400391;2746.538574;23546.888672;
0.402344;2743.833252;23536.806641;
0.404297;2733.586670;23516.669922;
0.406250;2732.846191;23506.191406;
0.408203;2730.903809;23492.832031;
0.410156;2724.996826;23493.714844;
0.412109;2717.704102;23500.845703;
0.414063;2726.416260;23518.390625;
0.416016;2720.479248;23524.664063;
0.417969;2717.393555;23521.474609;
0.419922;2724.226563;23516.335938;
0.421875;2734.161133;23508.765625;
0.423828;2723.843994;23498.771484;
0.425781;2727.502686;23485.076172;
0.427734;2725.753418;23501.986328;
0.429688;2726.907715;23517.148438;
0.431641;2717.301514;23519.667969;
0.433594;2717.142578;23536.306641;
0.435547;2720.422119;23532.775391;
0.437500;2705.964111;23486.830078;
0.439453;2695.727539;23468.828125;
0.441406;2700.099854;23479.748047;
0.443359;2734.799316;23484.800781;
0.445313;2729.202637;23492.095703;
0.447266;2713.373535;23513.085938;
0.449219;2732.519043;23549.466797;
0.451172;2731.847900;23550.992188;
0.453125;2716.841553;23525.712891;
0.455078;2725.925781;23510.017578;
0.457031;2709.523438;23479.345703;
0.458984;2714.592529;23470.582031;
0.460938;2719.006348;23488.486328;
0.462891;2726.613037;23518.871094;
0.464844;2724.252197;23535.468750;
0.466797;2721.787109;23539.419922;
0.468750;2721.277100;23530.484375;
0.470703;2718.628906;23520.533203;
0.472656;2719.668701;23511.734375;
0.474609;2721.148193;23497.726563;
0.476563;2714.335938;23491.517578;
0.478516;2736.475830;23521.697266;
0.480469;2730.940674;23535.923828;
0.482422;2686.382324;23530.994141;
0.484375;2695.908936;23537.966797;
0.486328;2730.974121;23539.113281;
0.488281;2744.899902;23527.291016;
0.490234;2737.520264;23523.630859;
0.492188;2718.130371;23500.990234;
0.494141;2708.024414;23492.296875;
0.496094;2733.746338;23510.878906;
0.498047;2752.101563;23549.125000;
0.500000;2751.388428;23550.359375;
0.501953;2769.180664;23576.242188;
0.503906;2754.896973;23547.972656;
0.505859;2757.544434;23533.935547;
0.507813;2763.585693;23521.800781;
0.509766;2764.250732;23529.316406;
0.511719;2768.145752;23540.335938;
0.513672;2785.016602;23563.888672;
0.515625;2807.166016;23591.076172;
0.517578;2796.963379;23590.787109;
0.519531;2779.933105;23562.125000;
0.521484;2784.410645;23554.527344;
0.523438;2792.901855;23554.214844;
0.525391;2804.249268;23551.433594;
0.527344;2804.233154;23551.089844;
0.529297;2819.383057;23574.576172;
0.531250;2814.516602;23578.802734;
0.533203;2809.369385;23587.416016;
0.535156;2789.378662;23568.683594;
0.537109;2792.769043;23557.302734;
0.539063;2816.480713;23557.037109;
0.541016;2816.344971;23533.796875;
0.542969;2809.913574;23537.421875;
0.544922;2801.374756;23542.724609;
0.546875;2818.583984;23555.755859;
0.548828;2805.409180;23553.269531;
0.550781;2816.061523;23562.500000;
0.552734;2803.527588;23553.658203;
0.554688;2791.596924;23536.302734;
0.556641;2764.305908;23518.679688;
0.558594;2784.148193;23488.734375;
0.560547;2788.151367;23486.806641;
0.562500;2791.861572;23509.275391;
0.564453;2783.263184;23517.724609;
0.566406;2782.507080;23523.703125;
0.568359;2766.855469;23512.574219;
0.570313;2748.739014;23492.341797;
0.572266;2772.190918;23494.035156;
0.574219;2783.890381;23489.302734;
0.576172;2770.894043;23473.722656;
0.578125;2764.631348;23478.728516;
0.580078;2764.391846;23485.429688;
0.582031;2757.859619;23487.105469;
0.583984;2750.111084;23471.923828;
0.585938;2730.792725;23450.476563;
0.587891;2730.817871;23451.806641;
0.589844;2728.521240;23440.660156;
0.591797;2743.403076;23447.035156;
0.593750;2727.040771;23441.712891;
0.595703;2728.410156;23445.910156;
0.597656;2736.746582;23465.484375;
0.599609;2734.521729;23464.712891;
0.601563;2727.247070;23460.802734;
0.603516;2721.113525;23442.830078;
0.605469;2713.900146;23418.841797;
0.607422;2718.448242;23417.433594;
0.609375;2729.697021;23418.914063;
0.611328;2729.760498;23420.707031;
0.613281;2725.278320;23439.529297;
0.615234;2730.041504;23450.724609;
0.617188;2722.153564;23461.966797;
0.619141;2716.431396;23442.744141;
0.621094;2725.914795;23454.226563;
0.623047;2731.850830;23453.535156;
0.625000;2734.840332;23444.105469;
0.626953;2730.543213;23437.757813;
0.628906;2714.119141;23427.876953;
0.630859;2727.323730;23450.921875;
0.632813;2716.074951;23454.306641;
0.634766;2727.119141;23470.248047;
0.636719;2729.894287;23465.841797;
0.638672;2711.545898;23435.632813;
0.640625;2713.710205;23429.863281;
0.642578;2724.779053;23433.310547;
0.644531;2722.267090;23429.281250;
0.646484;2714.823975;23430.105469;
0.648438;2711.935059;23446.230469;
0.650391;2717.395508;23462.708984;
0.652344;2700.871094;23439.800781;
0.654297;2711.265137;23436.767578;
0.656250;2703.293945;23414.935547;
0.658203;2696.498535;23393.800781;
0.660156;2701.494141;23400.693359;
0.662109;2696.095215;23405.751953;
0.664063;2672.014160;23391.183594;
0.666016;2686.147217;23420.095703;
0.667969;2684.482422;23421.916016;
0.669922;2673.952393;23398.351563;
0.671875;2716.735107;23428.927734;
0.673828;2693.565674;23406.957031;
0.675781;2679.589600;23396.761719;
0.677734;2691.060059;23413.027344;
0.679688;2694.123047;23422.759766;
0.681641;2682.585693;23415.794922;
0.683594;2687.682373;23425.431641;
0.685547;2679.360840;23416.658203;
0.687500;2675.495605;23394.595703;
0.689453;2654.208496;23368.470703;
0.691406;2694.488770;23404.472656;
0.693359;2659.069824;23374.810547;
0.695313;2668.979980;23387.082031;
0.697266;2641.594238;23362.890625;
0.699219;2637.087646;23374.857422;
0.701172;2653.359131;23391.093750;
0.703125;2649.863770;23382.978516;
0.705078;2652.329102;23368.214844;
0.707031;2658.004883;23358.089844;
0.708984;2657.869629;23352.933594;
0.710938;2650.836670;23353.574219;
0.712891;2655.442139;23371.279297;
0.714844;2663.443359;23406.113281;
0.716797;2665.185303;23412.541016;
0.718750;2679.451660;23411.083984;
0.720703;2667.941895;23385.478516;
0.722656;2669.427734;23377.015625;
0.724609;2672.400635;23367.498047;
0.726563;2683.015137;23366.955078;
0.728516;2681.281006;23385.328125;
0.730469;2689.046143;23407.490234;
0.732422;2689.425293;23425.519531;
0.734375;2693.606689;23428.902344;
0.736328;2696.104980;23423.679688;
0.738281;2693.253418;23417.275391;
0.740234;2699.995605;23403.740234;
0.742188;2708.418945;23395.527344;
0.744141;2703.506348;23397.621094;
0.746094;2734.233887;23435.478516;
0.748047;2720.901855;23430.705078;
0.750000;2719.218994;23437.804688;
0.751953;2709.702637;23434.218750;
0.753906;2727.112793;23446.294922;
0.755859;2731.630615;23442.126953;
0.757813;2718.928711;23416.214844;
0.759766;2725.757080;23417.214844;
0.761719;2725.989746;23428.171875;
0.763672;2725.641113;23437.361328;
0.765625;2737.034668;23450.775391;
0.767578;2748.288330;23468.291016;
0.769531;2728.580566;23443.621094;
0.771484;2707.222656;23420.515625;
0.773438;2724.063477;23426.365234;
0.775391;2741.739014;23407.443359;
0.777344;2730.513672;23411.417969;
0.779297;2749.045898;23446.728516;
0.781250;2747.702148;23457.480469;
0.783203;2752.198975;23470.474609;
0.785156;2744.284668;23467.664063;
0.787109;2759.158447;23470.835938;
0.789063;2755.759521;23452.941406;
0.791016;2743.658447;23430.951172;
0.792969;2734.989746;23427.935547;
0.794922;2753.610107;23449.220703;
0.796875;2753.102783;23453.197266;
0.798828;2750.113281;23460.953125;
0.800781;2748.296143;23465.119141;
0.802734;2743.267822;23456.458984;
0.804688;2738.630859;23433.949219;
0.806641;2733.883545;23411.333984;
0.808594;2727.957031;23400.419922;
0.810547;2724.487305;23407.142578;
0.812500;2722.138672;23416.785156;
0.814453;2737.871826;23424.068359;
0.816406;2725.308594;23423.767578;
0.818359;2723.974609;23422.365234;
0.820313;2712.427246;23399.730469;
0.822266;2700.471191;23390.789063;
0.824219;2718.064453;23404.275391;
0.826172;2714.616211;23383.388672;
0.828125;2714.560059;23386.535156;
0.830078;2723.096680;23395.238281;
0.832031;2738.534668;23428.767578;
0.833984;2730.516357;23446.019531;
0.835938;2713.253418;23420.876953;
