Time (s);FP1;FP2;Sampling Rate
0.000000;5.163300;0.794419;512
0.001953;5.349915;1.902337;
0.003906;5.615143;1.839557;
0.005859;5.096466;2.497181;
0.007813;4.679749;1.169445;
0.009766;6.173157;3.266379;
0.011719;5.977753;2.038399;
0.013672;5.044128;1.861481;
0.015625;6.546204;3.000697;
0.017578;5.003448;2.503868;
0.019531;5.444458;1.478302;
0.021484;6.124146;1.429478;
0.023438;5.850800;1.977482;
0.025391;4.790771;2.434860;
0.027344;6.105621;1.859161;
0.029297;5.759094;2.020017;
0.031250;5.426636;1.436775;
0.033203;5.039246;1.821603;
0.035156;6.505463;1.996536;
0.037109;4.525482;0.932771;
0.039063;5.906097;4.801689;
0.041016;4.899536;2.111224;
0.042969;6.158447;1.659770;
0.044922;6.054749;2.037238;
0.046875;3.489014;2.162430;
0.048828;5.886292;2.470494;
0.050781;5.495728;3.052728;
0.052734;5.236511;2.581365;
0.054688;6.272308;2.584296;
0.056641;4.140778;1.886275;
0.058594;5.487152;1.504898;
0.060547;4.538727;2.250706;
0.062500;4.932648;1.337843;
0.064453;6.185425;2.501700;
0.066406;4.613312;0.786144;
0.068359;6.349487;1.498730;
0.070313;5.149628;1.288774;
0.072266;4.765106;2.192354;
0.074219;4.925110;1.492867;
0.076172;7.264801;2.271744;
0.078125;4.903595;2.238065;
0.080078;5.961243;1.960932;
0.082031;5.080872;2.322432;
0.083984;5.041046;0.915489;
0.085938;4.938568;1.999284;
0.087891;4.959961;2.091163;
0.089844;5.093353;2.170217;
0.091797;6.086517;2.023131;
0.093750;5.369751;2.886589;
0.095703;5.100342;2.048719;
0.097656;5.189514;1.965177;
0.099609;5.807892;2.375776;
0.101563;4.949280;1.705205;
0.103516;4.969055;0.868282;
0.105469;4.630951;1.289446;
0.107422;5.179871;1.212804;
0.109375;5.574677;1.298118;
0.111328;5.078583;1.768931;
0.113281;6.222656;1.927619;
0.115234;5.553955;1.479493;
0.117188;5.976776;2.616083;
0.119141;5.391174;2.544571;
0.121094;5.654633;2.290645;
0.123047;4.892303;1.226911;
0.125000;5.754608;0.878114;
0.126953;4.898499;1.967986;
0.128906;4.310913;1.154178;
0.130859;4.027222;1.893787;
0.132813;5.793701;1.032070;
0.134766;5.614410;2.309241;
0.136719;4.519714;1.928871;
0.138672;6.570618;2.979781;
0.140625;4.542389;1.515585;
0.142578;5.868195;1.944444;
0.144531;4.316345;2.168873;
0.146484;5.011810;1.372805;
0.148438;6.303101;4.056522;
0.150391;5.409729;1.896993;
0.152344;5.042725;2.038826;
0.154297;5.595520;2.031864;
0.156250;5.815460;2.160873;
0.158203;5.428284;1.839130;
0.160156;5.643677;0.936954;
0.162109;5.426331;1.778824;
0.164063;4.529083;0.826969;
0.166016;5.544647;2.778527;
0.167969;5.275543;2.002429;
0.169922;4.337219;3.166591;
0.171875;3.810242;1.449997;
0.173828;5.271362;2.022612;
0.175781;5.351410;2.538189;
0.177734;5.397705;1.456989;
0.179688;5.291382;1.611861;
0.181641;6.204712;2.175927;
0.183594;4.971344;2.195744;
0.185547;4.896362;1.326759;
0.187500;2.463837;0.285926;
0.189453;4.825775;1.550853;
0.191406;3.889526;0.552279;
0.193359;4.183624;1.609662;
0.195313;4.636902;0.624982;
0.197266;5.890869;2.731138;
0.199219;4.205170;1.356195;
0.201172;4.458923;2.381486;
0.203125;5.063049;2.825673;
0.205078;5.815338;1.772290;
0.207031;4.544678;2.216446;
0.208984;4.600311;1.836657;
0.210938;6.426239;1.709358;
0.212891;3.670380;1.262148;
0.214844;3.919006;-0.018168;
0.216797;5.313019;2.574434;
0.218750;4.789154;1.973757;
0.220703;6.246857;2.640572;
0.222656;4.311981;1.019612;
0.224609;4.260223;1.809878;
0.226563;5.574097;2.893643;
0.228516;5.107910;1.957971;
0.230469;5.679108;1.241171;
0.232422;3.871796;0.885717;
0.234375;5.394379;1.831191;
0.236328;4.808258;1.665266;
0.238281;4.448486;0.827396;
0.240234;3.962830;0.751609;
0.242188;6.128052;2.887108;
0.244141;5.562714;3.353555;
0.246094;5.012329;1.821573;
0.248047;5.399506;2.841673;
0.250000;6.338898;0.688128;
0.251953;6.363312;0.989627;
0.253906;5.264526;1.548379;
0.255859;5.046356;2.001360;
0.257813;3.931458;1.408073;
0.259766;4.198486;1.303919;
0.261719;6.092682;3.528304;
0.263672;4.926544;1.290454;
0.265625;4.726807;2.627533;
0.267578;6.296753;2.010887;
0.269531;6.105408;1.847496;
0.271484;3.772369;1.290209;
0.273438;5.669586;1.298118;
0.275391;4.629272;1.688075;
0.277344;4.517761;2.395135;
0.279297;4.978607;2.323867;
0.281250;5.374908;1.928749;
0.283203;6.216644;2.602190;
0.285156;5.006989;2.086155;
0.287109;4.342346;2.027162;
0.289063;3.881226;0.609226;
0.291016;5.917725;2.183713;
0.292969;5.070282;0.801259;
0.294922;2.659943;1.736747;
0.296875;4.115936;1.613357;
0.298828;5.334839;1.663190;
0.300781;5.673859;2.771688;
0.302734;5.185760;2.556174;
0.304688;4.668457;2.342249;
0.306641;5.648682;2.694191;
0.308594;5.793701;2.993705;
0.310547;3.556976;2.316539;
0.312500;5.259308;1.571555;
0.314453;4.862244;1.626395;
0.316406;5.925995;1.815557;
0.318359;4.668030;0.961321;
0.320313;4.584290;2.392661;
0.322266;4.414215;1.418394;
0.324219;4.015411;1.971375;
0.326172;5.057312;2.715229;
0.328125;5.215973;1.773328;
0.330078;5.253265;2.019498;
0.332031;3.782166;1.437569;
0.333984;7.070618;2.404173;
0.335938;5.602509;2.621549;
0.337891;5.056671;1.830519;
0.339844;4.595459;2.499471;
0.341797;4.926941;2.129697;
0.343750;3.667511;2.321485;
0.345703;4.346649;2.134033;
0.347656;4.435272;2.358371;
0.349609;4.863129;2.085208;
0.351563;4.233795;1.070513;
0.353516;4.199463;2.662313;
0.355469;6.264252;1.469905;
0.357422;4.282471;2.514097;
0.359375;5.453796;3.713924;
0.361328;5.024231;1.896657;
0.363281;4.771240;0.849045;
0.365234;6.717133;1.889573;
0.367188;6.070435;3.056392;
0.369141;6.012390;0.796190;
0.371094;5.292084;0.977840;
0.373047;3.767120;0.344858;
0.375000;5.363098;1.777969;
0.376953;4.351746;0.466386;
0.378906;3.448120;-0.441805;
0.380859;5.316864;2.746161;
0.382813;4.107971;1.663831;
0.384766;3.907440;1.624258;
0.386719;5.996552;2.247133;
0.388672;5.581055;2.214461;
0.390625;4.250336;1.083154;
0.392578;6.103943;2.859108;
0.394531;5.349548;2.592907;
0.396484;5.584869;2.593060;
0.398438;4.911743;1.621632;
0.400391;4.350555;1.397416;
0.402344;5.153717;1.333721;
0.404297;4.849304;1.854703;
0.406250;4.855347;1.824656;
0.408203;4.228455;1.767496;
0.410156;5.840149;2.197270;
0.412109;5.234772;1.657052;
0.414063;4.991882;2.118430;
0.416016;5.655914;3.499602;
0.417969;5.016022;3.281005;
0.419922;4.544495;2.273912;
0.421875;4.928925;2.926040;
0.423828;3.423157;1.402912;
0.425781;3.961975;1.486150;
0.427734;5.257690;2.771504;
0.429688;3.876526;1.626548;
0.431641;5.570221;0.434599;
0.433594;5.785767;2.059803;
0.435547;4.197784;2.790161;
0.437500;6.053650;3.091690;
0.439453;5.927277;1.814550;
0.441406;4.619659;1.632502;
0.443359;5.249237;0.352614;
