Time (s);FP1;FP2;Sampling Rate
0.000000;2592.047607;23394.304688;512
0.001953;2585.452881;23401.738281;
0.003906;2616.131104;23438.300781;
0.005859;2594.461182;23424.515625;
0.007813;2605.757813;23436.656250;
0.009766;2591.970459;23422.275391;
0.011719;2592.863525;23414.058594;
0.013672;2584.242188;23397.089844;
0.015625;2589.172119;23392.369141;
0.017578;2592.791016;23398.742188;
0.019531;2587.455566;23382.064453;
0.021484;2588.282959;23394.283203;
0.023438;2606.299316;23440.476563;
0.025391;2585.262695;23424.878906;
0.027344;2592.411377;23402.949219;
0.029297;2586.697021;23392.439453;
0.031250;2583.407959;23405.093750;
0.033203;2601.620850;23401.613281;
0.035156;2580.517090;23382.007813;
0.037109;2604.892822;23406.945313;
0.039063;2606.059082;23424.498047;
0.041016;2574.448730;23390.564453;
0.042969;2599.368652;23386.968750;
0.044922;2594.606689;23388.902344;
0.046875;2585.968506;23389.720703;
0.048828;2579.205811;23376.066406;
0.050781;2588.893066;23398.525391;
0.052734;2598.602783;23416.791016;
0.054688;2587.227539;23381.648438;
0.056641;2598.424316;23397.833984;
0.058594;2593.679443;23423.251953;
0.060547;2587.932373;23437.250000;
0.062500;2589.832031;23416.416016;
0.064453;2606.275391;23409.666016;
0.066406;2596.533936;23406.259766;
0.068359;2586.848877;23402.160156;
0.070313;2599.258057;23411.167969;
0.072266;2588.346436;23400.667969;
0.074219;2576.341309;23395.017578;
0.076172;2585.410889;23406.216797;
0.078125;2578.868652;23397.707031;
0.080078;2587.627930;23402.837891;
0.082031;2580.095459;23389.931641;
0.083984;2582.950684;23379.898438;
0.085938;2602.534424;23392.466797;
0.087891;2590.240723;23381.601563;
0.089844;2600.901367;23410.677734;
0.091797;2591.560547;23409.445313;
0.093750;2591.402588;23402.185547;
0.095703;2593.745605;23403.097656;
0.097656;2581.807373;23386.193359;
0.099609;2581.613037;23374.210938;
0.101563;2580.833008;23370.841797;
0.103516;2587.796143;23401.388672;
0.105469;2593.733887;23425.140625;
0.107422;2586.255859;23427.777344;
0.109375;2578.253174;23389.060547;
0.111328;2596.035889;23405.941406;
0.113281;2596.285400;23420.910156;
0.115234;2581.712402;23383.958984;
0.117188;2575.458984;23379.968750;
0.119141;2607.027344;23414.796875;
0.121094;2594.649902;23396.621094;
0.123047;2594.474609;23395.867188;
0.125000;2590.214600;23410.220703;
0.126953;2591.469971;23398.019531;
0.128906;2586.380371;23392.992188;
0.130859;2583.917725;23410.427734;
0.132813;2586.923340;23401.224609;
0.134766;2582.506592;23394.017578;
0.136719;2591.687744;23403.669922;
0.138672;2573.755371;23401.441406;
0.140625;2574.961182;23413.615234;
0.142578;2577.660156;23415.281250;
0.144531;2578.487305;23398.535156;
0.146484;2582.736328;23388.691406;
0.148438;2580.210449;23377.000000;
0.150391;2573.162598;23366.128906;
0.152344;2570.338867;23360.105469;
0.154297;2602.675781;23401.806641;
0.156250;2569.994873;23395.482422;
0.158203;2562.979736;23410.179688;
0.160156;2583.352783;23419.443359;
0.162109;2581.708252;23408.402344;
0.164063;2572.627197;23373.648438;
0.166016;2576.239014;23371.669922;
0.167969;2589.720459;23384.810547;
0.169922;2577.657227;23386.031250;
0.171875;2570.664795;23381.281250;
0.173828;2584.262939;23407.634766;
0.175781;2574.721680;23408.429688;
0.177734;2576.419922;23420.001953;
0.179688;2582.636963;23417.341797;
0.181641;2577.484863;23389.044922;
0.183594;2581.263672;23394.621094;
0.185547;2580.386719;23402.230469;
0.187500;2578.258789;23407.767578;
0.189453;2572.859131;23409.880859;
0.191406;2562.493652;23411.517578;
0.193359;2589.657959;23441.767578;
0.195313;2586.940186;23421.085938;
0.197266;2581.779541;23405.937500;
0.199219;2580.888672;23387.304688;
0.201172;2568.131592;23379.964844;
0.203125;2566.740967;23383.072266;
0.205078;2571.659912;23397.164063;
0.207031;2562.923340;23412.939453;
0.208984;2559.886230;23423.515625;
0.210938;2555.083496;23400.251953;
0.212891;2545.312988;23364.767578;
0.214844;2553.016846;23371.330078;
0.216797;2565.654297;23372.001953;
0.218750;2570.397217;23385.898438;
0.220703;2555.602539;23379.400391;
0.222656;2559.689941;23399.289063;
0.224609;2568.641113;23417.320313;
0.226563;2580.534912;23422.197266;
0.228516;2592.471436;23420.042969;
0.230469;2597.008057;23398.074219;
0.232422;2588.715576;23386.072266;
0.234375;2568.133545;23373.976563;
0.236328;2590.269531;23410.214844;
0.238281;2587.000977;23415.132813;
0.240234;2579.788330;23415.605469;
0.242188;2569.588135;23405.929688;
0.244141;2569.472656;23400.283203;
0.246094;2570.518066;23384.623047;
0.248047;2565.779297;23369.777344;
0.250000;2569.989014;23371.847656;
0.251953;2569.597656;23376.691406;
0.253906;2578.843994;23407.816406;
0.255859;2582.279785;23432.402344;
0.257813;2585.290283;23432.652344;
0.259766;2560.613770;23416.814453;
0.261719;2570.487793;23416.306641;
0.263672;2569.209961;23387.275391;
0.265625;2573.050781;23382.386719;
0.267578;2574.483887;23366.642578;
0.269531;2570.092529;23378.687500;
0.271484;2570.526123;23397.494141;
0.273438;2568.971191;23406.648438;
0.275391;2559.336670;23392.123047;
0.277344;2606.317627;23429.347656;
0.279297;2573.211670;23392.468750;
0.281250;2530.275146;23349.539063;
0.283203;2555.207520;23360.984375;
0.285156;2574.164307;23367.988281;
0.287109;2532.919678;23362.171875;
0.289063;2607.625000;23447.798828;
0.291016;2588.308594;23436.013672;
0.292969;2591.078857;23431.193359;
0.294922;2578.062744;23401.408203;
0.296875;2575.728516;23413.796875;
0.298828;2585.844971;23419.837891;
0.300781;2585.931396;23408.703125;
0.302734;2578.140869;23396.871094;
0.304688;2573.247559;23404.933594;
0.306641;2601.216553;23449.988281;
0.308594;2588.697021;23430.447266;
0.310547;2589.577881;23427.527344;
0.312500;2570.887207;23427.878906;
0.314453;2569.735840;23410.925781;
0.316406;2571.399170;23390.076172;
0.318359;2584.693848;23392.613281;
0.320313;2579.358887;23409.345703;
0.322266;2577.857666;23417.757813;
0.324219;2578.105469;23425.082031;
0.326172;2565.851563;23401.515625;
0.328125;2567.356201;23391.925781;
0.330078;2567.162598;23395.591797;
0.332031;2575.260254;23405.105469;
0.333984;2564.404785;23391.771484;
0.335938;2556.161377;23394.388672;
0.337891;2568.833984;23416.496094;
0.339844;2582.572510;23436.117188;
0.341797;2566.750732;23428.371094;
0.343750;2564.572998;23422.292969;
0.345703;2567.210938;23410.392578;
0.347656;2565.267334;23396.281250;
0.349609;2561.167236;23357.189453;
