Time (s);Fp1;Fp2;Sampling Rate
0.0000000000e+00;-5.9513116455e+02;-1.1606152344e+03;300
2.9296875000e-03;-5.9692456055e+02;-1.1895565186e+03;
5.8593750000e-03;-6.2292315674e+02;-1.1978067627e+03;
9.7656250000e-03;-6.2053222656e+02;-1.2162539062e+03;
1.2695312500e-02;-6.0370227051e+02;-1.1939515381e+03;
1.6601562500e-02;-6.0069573975e+02;-1.1493012695e+03;
1.9531250000e-02;-6.0310839844e+02;-1.1568549805e+03;
2.2460937500e-02;-6.0731988525e+02;-1.1921450195e+03;
2.6367187500e-02;-6.0958294678e+02;-1.2004541016e+03;
2.9296875000e-02;-6.1662506104e+02;-1.2026762695e+03;
3.3203125000e-02;-5.9302770996e+02;-1.1515831299e+03;
3.6132812500e-02;-6.0042102051e+02;-1.1659311523e+03;
3.9062500000e-02;-5.9651593018e+02;-1.1695766602e+03;
4.2968750000e-02;-6.0085986328e+02;-1.1654566650e+03;
4.5898437500e-02;-6.1527685547e+02;-1.1774622803e+03;
4.9804687500e-02;-6.1047869873e+02;-1.1826557617e+03;
5.2734375000e-02;-6.1200292969e+02;-1.1908533936e+03;
5.6640625000e-02;-6.1634149170e+02;-1.1987822266e+03;
5.9570312500e-02;-6.0731829834e+02;-1.1903631592e+03;
6.2500000000e-02;-5.9904650879e+02;-1.2031838379e+03;
6.6406250000e-02;-6.0715905762e+02;-1.2182242432e+03;
6.9335937500e-02;-6.0010363770e+02;-1.1680112305e+03;
7.3242187500e-02;-6.1994476318e+02;-1.1809681396e+03;
7.6171875000e-02;-6.2114001465e+02;-1.1598309326e+03;
7.9101562500e-02;-6.0414318848e+02;-1.1798936768e+03;
8.3007812500e-02;-5.9801770020e+02;-1.2018302002e+03;
8.5937500000e-02;-5.9622015381e+02;-1.1801245117e+03;
8.9843750000e-02;-6.0683776855e+02;-1.1566573486e+03;
9.2773437500e-02;-6.1359167480e+02;-1.1631142578e+03;
9.5703125000e-02;-6.0027709961e+02;-1.1717915039e+03;
9.9609375000e-02;-5.9107830811e+02;-1.1565855713e+03;
1.0253906250e-01;-6.0114160156e+02;-1.2115894775e+03;
1.0644531250e-01;-6.0461511230e+02;-1.2464432373e+03;
1.0937500000e-01;-6.0113177490e+02;-1.1997753906e+03;
1.1328125000e-01;-5.9963226318e+02;-1.1579036865e+03;
1.1621093750e-01;-6.1377886963e+02;-1.1594086914e+03;
1.1914062500e-01;-5.9427093506e+02;-1.2029079590e+03;
1.2304687500e-01;-5.9606072998e+02;-1.1875203857e+03;
