Time (s);Fp1;Fp2;Sampling Rate
0.0000000000e+00;-6.3163845062e+01;-5.0178469849e+02;300
2.9296875000e-03;-6.8883262634e+01;-5.0538882446e+02;
5.8593750000e-03;-6.4808311462e+01;-5.2846722412e+02;
9.7656250000e-03;-6.2555725098e+01;-5.3887384033e+02;
1.2695312500e-02;-6.3925785065e+01;-5.3422100830e+02;
1.6601562500e-02;-8.2537681580e+01;-5.4441912842e+02;
1.9531250000e-02;-6.6920715332e+01;-5.3509698486e+02;
2.2460937500e-02;-7.3361633301e+01;-5.8104876709e+02;
2.6367187500e-02;-6.0888824463e+01;-5.4803485107e+02;
2.9296875000e-02;-6.9750854492e+01;-5.4182818604e+02;
3.3203125000e-02;-7.5924171448e+01;-5.3866790771e+02;
3.6132812500e-02;-6.9162551880e+01;-5.2466387939e+02;
3.9062500000e-02;-6.7209297180e+01;-5.2030853271e+02;
4.2968750000e-02;-6.7802856445e+01;-5.3056048584e+02;
4.5898437500e-02;-7.1704093933e+01;-5.3294140625e+02;
4.9804687500e-02;-6.9755867004e+01;-5.6808435059e+02;
5.2734375000e-02;-6.7810897827e+01;-5.5166381836e+02;
5.6640625000e-02;-6.4349182129e+01;-4.9935482788e+02;
5.9570312500e-02;-7.5910835266e+01;-5.2872326660e+02;
6.2500000000e-02;-7.2005981445e+01;-5.5436450195e+02;
6.6406250000e-02;-7.1701278687e+01;-5.4892150879e+02;
6.9335937500e-02;-6.8980102539e+01;-5.4434869385e+02;
7.3242187500e-02;-7.2452339172e+01;-5.2702734375e+02;
7.6171875000e-02;-7.4839744568e+01;-5.3817102051e+02;
7.9101562500e-02;-6.7473785400e+01;-5.2443884277e+02;
8.3007812500e-02;-7.8602600098e+01;-5.4466357422e+02;
8.5937500000e-02;-7.3199310303e+01;-5.5341571045e+02;
8.9843750000e-02;-7.8177009583e+01;-5.4272326660e+02;
9.2773437500e-02;-6.2838314056e+01;-5.2556628418e+02;
9.5703125000e-02;-7.6793472290e+01;-5.6245440674e+02;
9.9609375000e-02;-6.7182052612e+01;-5.6186938477e+02;
1.0253906250e-01;-7.6946174622e+01;-5.9548907471e+02;
1.0644531250e-01;-7.1540641785e+01;-5.3276037598e+02;
1.0937500000e-01;-7.1243644714e+01;-4.9354559326e+02;
1.1328125000e-01;-6.1764530182e+01;-5.2324877930e+02;
1.1621093750e-01;-7.0036186218e+01;-5.3034631348e+02;
1.1914062500e-01;-7.0913429260e+01;-5.1279492188e+02;
1.2304687500e-01;-8.2623771667e+01;-5.3508813477e+02;
1.2597656250e-01;-7.3777336121e+01;-5.5337835693e+02;
