Time (s);Fp1;Fp2;Sampling Rate
0.0000000000e+00;-2.4099172974e+02;-9.6479553223e+02;300
2.9296875000e-03;-2.4955343628e+02;-9.6733349609e+02;
5.8593750000e-03;-2.4083460999e+02;-9.7396734619e+02;
9.7656250000e-03;-2.4007646179e+02;-9.5542938232e+02;
1.2695312500e-02;-2.4325996399e+02;-9.6645672607e+02;
1.6601562500e-02;-2.4954417419e+02;-9.7546234131e+02;
1.9531250000e-02;-2.4098519897e+02;-9.8074499512e+02;
2.2460937500e-02;-2.4307115173e+02;-9.8371179199e+02;
2.6367187500e-02;-2.4381283569e+02;-9.8083740234e+02;
2.9296875000e-02;-2.4546182251e+02;-9.7281585693e+02;
3.3203125000e-02;-2.4333012390e+02;-9.6644714355e+02;
3.6132812500e-02;-2.5726947021e+02;-9.6168402100e+02;
3.9062500000e-02;-2.5292381287e+02;-9.5643621826e+02;
4.2968750000e-02;-2.5654779053e+02;-9.8179492188e+02;
4.5898437500e-02;-2.5504312134e+02;-9.7424700928e+02;
4.9804687500e-02;-2.5503875732e+02;-9.8118249512e+02;
5.2734375000e-02;-2.4976356506e+02;-9.6412707520e+02;
5.6640625000e-02;-2.5202946472e+02;-9.4710485840e+02;
5.9570312500e-02;-2.5218701172e+02;-9.5964868164e+02;
6.2500000000e-02;-2.4500503540e+02;-9.7961914062e+02;
6.6406250000e-02;-2.3840528870e+02;-9.5794329834e+02;
6.9335937500e-02;-2.3752947998e+02;-9.5437487793e+02;
7.3242187500e-02;-2.3106918335e+02;-9.7415087891e+02;
7.6171875000e-02;-2.3574591064e+02;-9.6136425781e+02;
7.9101562500e-02;-2.3004981995e+02;-9.5897430420e+02;
8.3007812500e-02;-2.3260437012e+02;-9.6304449463e+02;
8.5937500000e-02;-2.3694679260e+02;-9.6587493896e+02;
8.9843750000e-02;-2.4430239868e+02;-9.8199053955e+02;
9.2773437500e-02;-2.4328045654e+02;-9.7013787842e+02;
9.5703125000e-02;-2.3557867432e+02;-9.4397406006e+02;
9.9609375000e-02;-2.3843890381e+02;-9.6825256348e+02;
1.0253906250e-01;-2.4113555908e+02;-9.9237390137e+02;
1.0644531250e-01;-2.4501403809e+02;-9.5944158936e+02;
1.0937500000e-01;-2.4738551331e+02;-9.6177685547e+02;
1.1328125000e-01;-2.4753257751e+02;-9.5105700684e+02;
1.1621093750e-01;-2.3791206360e+02;-9.5014544678e+02;
1.1914062500e-01;-2.5188862610e+02;-9.6506689453e+02;
1.2304687500e-01;-2.4617330933e+02;-9.6385778809e+02;
1.2597656250e-01;-2.4332649231e+02;-9.6765289307e+02;
1.2988281250e-01;-2.4858801270e+02;-9.7411730957e+02;
1.3281250000e-01;-2.4211930847e+02;-9.7850158691e+02;
1.3574218750e-01;-2.3774563599e+02;-9.7350231934e+02;
1.3964843750e-01;-2.4197999573e+02;-9.7624047852e+02;
1.4257812500e-01;-2.4644464111e+02;-9.4449481201e+02;
1.4648437500e-01;-2.2813061523e+02;-9.4637847900e+02;
1.4941406250e-01;-2.3592802429e+02;-9.7346588135e+02;
1.5332031250e-01;-2.2572332764e+02;-9.5632226562e+02;
1.5625000000e-01;-2.3503359985e+02;-9.8586175537e+02;
1.5917968750e-01;-2.3684364319e+02;-9.6746020508e+02;
1.6308593750e-01;-2.3115483093e+02;-9.4821746826e+02;
1.6601562500e-01;-2.3069784546e+02;-9.5499176025e+02;
1.6992187500e-01;-2.3279252625e+02;-9.5075451660e+02;
1.7285156250e-01;-2.3444642639e+02;-9.6869580078e+02;
1.7578125000e-01;-2.4194602966e+02;-9.7410144043e+02;
1.7968750000e-01;-2.3747624207e+02;-9.4821252441e+02;
1.8261718750e-01;-2.4165100098e+02;-9.3941064453e+02;
1.8652343750e-01;-2.4165916443e+02;-9.5539245605e+02;
1.8945312500e-01;-2.5126448059e+02;-9.9067163086e+02;
1.9238281250e-01;-2.4542892456e+02;-9.6884295654e+02;
1.9628906250e-01;-2.5037313843e+02;-9.6112799072e+02;
1.9921875000e-01;-2.5264356995e+02;-9.5314129639e+02;
2.0312500000e-01;-2.4436582947e+02;-9.5691479492e+02;
2.0605468750e-01;-2.3671217346e+02;-9.5165209961e+02;
2.0996093750e-01;-2.3385934448e+02;-9.4669512939e+02;
